transaction_id,ship_id,transaction_amount,transaction_date,port,currency
TRX8851,SHIP7,59173.74,2024-10-14,Los Angeles,JPY
TRX3292,SHIP41,68238.61,2024-10-14,Rotterdam,EUR
TRX2706,SHIP26,29548.98,2024-10-14,New York,JPY
TRX3490,SHIP32,76586.51,2024-10-14,Los Angeles,EUR
TRX8299,SHIP5,8183.87,2024-10-14,Shanghai,JPY
TRX4919,SHIP6,76602.25,2024-10-14,Shanghai,USD
TRX3064,SHIP20,53090.07,2024-10-14,Singapore,EUR
TRX5808,SHIP47,22242.12,2024-10-14,New York,JPY
TRX7135,SHIP27,69036.39,2024-10-14,Rotterdam,JPY
TRX9396,SHIP25,3433.38,2024-10-14,New York,JPY
TRX6237,SHIP30,34272.5,2024-10-14,Rotterdam,GBP
TRX1196,SHIP1,3274.77,2024-10-14,Shanghai,EUR
TRX3421,SHIP13,42070.69,2024-10-14,Singapore,USD
TRX9916,SHIP34,56272.05,2024-10-14,Los Angeles,USD
TRX5806,SHIP7,28884.59,2024-10-14,New York,JPY
TRX5265,SHIP15,24690.15,2024-10-14,Shanghai,EUR
TRX5747,SHIP23,94655.7,2024-10-14,Rotterdam,GBP
TRX3618,SHIP47,12994.9,2024-10-14,Singapore,EUR
TRX2921,SHIP46,79295.01,2024-10-14,Singapore,USD
TRX8793,SHIP28,91986.85,2024-10-14,New York,GBP
TRX8980,SHIP6,73027.0,2024-10-14,New York,CNY
TRX6214,SHIP27,10818.09,2024-10-14,Shanghai,USD
TRX6095,SHIP32,5818.25,2024-10-14,Singapore,USD
TRX5051,SHIP48,83956.85,2024-10-14,Shanghai,EUR
TRX3509,SHIP3,72408.34,2024-10-14,Singapore,JPY
TRX9685,SHIP28,34079.7,2024-10-14,New York,JPY
TRX4897,SHIP40,82102.7,2024-10-14,Los Angeles,CNY
TRX2667,SHIP43,83882.56,2024-10-14,Shanghai,EUR
TRX5406,SHIP16,64704.44,2024-10-14,New York,CNY
TRX8828,SHIP25,16318.89,2024-10-14,Shanghai,GBP
TRX6862,SHIP41,63623.83,2024-10-14,Los Angeles,JPY
TRX5875,SHIP44,32521.04,2024-10-14,New York,GBP
TRX2598,SHIP1,43157.71,2024-10-14,Shanghai,CNY
TRX4121,SHIP33,44298.41,2024-10-14,Singapore,CNY
TRX2298,SHIP12,18773.82,2024-10-14,Shanghai,USD
TRX4451,SHIP23,12106.83,2024-10-14,New York,CNY
TRX7838,SHIP36,5453.19,2024-10-14,New York,JPY
TRX7607,SHIP17,96777.69,2024-10-14,New York,JPY
TRX1184,SHIP30,49641.21,2024-10-14,Los Angeles,CNY
TRX1560,SHIP25,35274.26,2024-10-14,Los Angeles,EUR
TRX8907,SHIP18,32601.18,2024-10-14,Shanghai,CNY
TRX6798,SHIP31,54033.85,2024-10-14,Singapore,USD
TRX3130,SHIP23,66901.01,2024-10-14,Singapore,CNY
TRX7613,SHIP23,25412.77,2024-10-14,Rotterdam,CNY
TRX5037,SHIP33,12437.18,2024-10-14,Shanghai,CNY
TRX7039,SHIP5,91256.52,2024-10-14,Los Angeles,GBP
TRX6047,SHIP27,16407.54,2024-10-14,Rotterdam,EUR
TRX2678,SHIP38,92876.31,2024-10-14,Singapore,USD
TRX6232,SHIP50,8540.39,2024-10-14,Los Angeles,EUR
TRX4176,SHIP4,8706.25,2024-10-14,Los Angeles,EUR
TRX4443,SHIP41,93000.76,2024-10-14,Shanghai,EUR
TRX5833,SHIP14,28094.07,2024-10-14,Singapore,GBP
TRX4367,SHIP37,84935.12,2024-10-14,Shanghai,GBP
TRX4610,SHIP32,93848.76,2024-10-14,Los Angeles,JPY
TRX2837,SHIP26,36418.06,2024-10-14,New York,GBP
TRX3973,SHIP45,59060.75,2024-10-14,Rotterdam,USD
TRX5521,SHIP23,9790.24,2024-10-14,Shanghai,CNY
TRX9631,SHIP30,19932.53,2024-10-14,Shanghai,CNY
TRX1801,SHIP24,98826.54,2024-10-14,Singapore,CNY
TRX2665,SHIP9,41474.56,2024-10-14,Rotterdam,JPY
TRX7093,SHIP24,64427.75,2024-10-14,Shanghai,EUR
TRX4101,SHIP4,51036.22,2024-10-14,Los Angeles,JPY
TRX4500,SHIP16,96460.73,2024-10-14,Shanghai,CNY
TRX4745,SHIP10,7568.43,2024-10-14,Shanghai,GBP
TRX7383,SHIP13,66624.62,2024-10-14,New York,GBP
TRX6791,SHIP19,78073.02,2024-10-14,Shanghai,JPY
TRX9419,SHIP37,26088.2,2024-10-14,Rotterdam,USD
TRX5127,SHIP47,57079.6,2024-10-14,Shanghai,GBP
TRX1765,SHIP20,28453.73,2024-10-14,New York,USD
TRX4341,SHIP39,98723.27,2024-10-14,Rotterdam,USD
TRX7188,SHIP4,10516.21,2024-10-14,Shanghai,GBP
TRX5298,SHIP13,40969.07,2024-10-14,Rotterdam,GBP
TRX9634,SHIP35,77973.66,2024-10-14,Rotterdam,USD
TRX6051,SHIP47,29744.82,2024-10-14,New York,GBP
TRX6914,SHIP44,56689.5,2024-10-14,Rotterdam,USD
TRX5435,SHIP13,78910.48,2024-10-14,New York,EUR
TRX6269,SHIP40,41773.05,2024-10-14,Rotterdam,JPY
TRX8705,SHIP37,36806.42,2024-10-14,Los Angeles,JPY
TRX8588,SHIP20,48520.09,2024-10-14,New York,GBP
TRX8054,SHIP26,85387.89,2024-10-14,Shanghai,CNY
TRX6809,SHIP6,51891.68,2024-10-14,New York,USD
TRX3839,SHIP13,79659.19,2024-10-14,Los Angeles,USD
TRX1324,SHIP3,23435.82,2024-10-14,Singapore,JPY
TRX3529,SHIP45,32607.75,2024-10-14,Singapore,USD
TRX4643,SHIP33,5665.77,2024-10-14,Singapore,EUR
TRX3452,SHIP30,72171.63,2024-10-14,Shanghai,EUR
TRX2463,SHIP10,90433.08,2024-10-14,Los Angeles,CNY
TRX6572,SHIP24,9351.66,2024-10-14,Shanghai,CNY
TRX4191,SHIP21,40652.55,2024-10-14,Los Angeles,CNY
TRX1966,SHIP32,39756.74,2024-10-14,Rotterdam,CNY
TRX2619,SHIP7,54957.93,2024-10-14,Shanghai,GBP
TRX1873,SHIP38,97040.1,2024-10-14,Singapore,CNY
TRX1383,SHIP13,37844.81,2024-10-14,Shanghai,JPY
TRX6936,SHIP30,93436.88,2024-10-14,Shanghai,EUR
TRX3602,SHIP29,19933.99,2024-10-14,Singapore,USD
TRX2631,SHIP41,90003.53,2024-10-14,Singapore,GBP
TRX3595,SHIP26,70900.09,2024-10-14,New York,USD
TRX4891,SHIP2,14038.28,2024-10-14,Shanghai,USD
TRX2843,SHIP31,60741.95,2024-10-14,Rotterdam,JPY
TRX7609,SHIP26,7328.06,2024-10-14,Singapore,CNY
