transaction_id,ship_id,transaction_amount,transaction_date,port,currency
TRX9595,SHIP42,24096.46,2024-10-13,New York,EUR
TRX9672,SHIP11,36431.7,2024-10-04,Singapore,GBP
TRX1417,SHIP18,28186.6,2024-09-27,New York,JPY
TRX5448,SHIP22,33140.92,2024-09-25,New York,JPY
TRX9106,SHIP27,22481.05,2024-09-24,Shanghai,EUR
TRX4682,SHIP37,89315.13,2024-09-23,Singapore,EUR
TRX4018,SHIP37,61867.72,2024-10-05,New York,USD
TRX1538,SHIP23,92616.65,2024-09-18,Rotterdam,EUR
TRX1976,SHIP32,67611.82,2024-09-24,Shanghai,GBP
TRX9435,SHIP30,30909.1,2024-09-14,Singapore,GBP
TRX4475,SHIP38,9937.05,2024-10-01,Shanghai,CNY
TRX1686,SHIP4,42740.04,2024-10-13,New York,EUR
TRX2509,SHIP20,43707.99,2024-09-26,Singapore,CNY
TRX1396,SHIP23,90604.95,2024-09-25,Los Angeles,GBP
TRX6399,SHIP35,7734.42,2024-10-06,Los Angeles,GBP
TRX4813,SHIP40,11391.55,2024-09-30,Shanghai,JPY
TRX5533,SHIP1,78008.8,2024-09-16,New York,USD
TRX2660,SHIP45,26663.02,2024-10-06,Singapore,GBP
TRX5113,SHIP24,53114.07,2024-10-14,Shanghai,JPY
TRX9343,SHIP30,17149.48,2024-10-09,Los Angeles,EUR
TRX7304,SHIP26,33264.58,2024-09-14,Shanghai,USD
TRX7395,SHIP47,5805.66,2024-10-01,New York,CNY
TRX5436,SHIP21,94875.57,2024-10-02,Shanghai,CNY
TRX8001,SHIP43,65408.13,2024-10-12,New York,JPY
TRX9246,SHIP41,23686.02,2024-09-20,Singapore,EUR
TRX5856,SHIP46,59310.23,2024-10-01,Singapore,USD
TRX4345,SHIP30,12645.95,2024-10-14,Rotterdam,GBP
TRX1607,SHIP25,51959.44,2024-10-13,Los Angeles,USD
TRX8720,SHIP14,25190.09,2024-09-21,Los Angeles,CNY
TRX2118,SHIP8,13518.18,2024-09-14,Rotterdam,JPY
TRX8664,SHIP45,15542.06,2024-09-28,Rotterdam,GBP
TRX8401,SHIP44,32853.25,2024-09-20,Rotterdam,CNY
TRX5429,SHIP18,32934.65,2024-09-17,Shanghai,USD
TRX4580,SHIP17,56161.88,2024-10-14,Shanghai,EUR
TRX5214,SHIP7,87579.69,2024-09-16,New York,USD
TRX7718,SHIP9,73379.76,2024-09-21,New York,CNY
TRX2588,SHIP17,60273.02,2024-09-30,Shanghai,USD
TRX3159,SHIP1,44133.26,2024-10-14,Singapore,CNY
TRX9547,SHIP47,74065.53,2024-10-03,Singapore,JPY
TRX9163,SHIP19,57262.49,2024-10-09,Singapore,JPY
TRX4927,SHIP10,71948.17,2024-09-23,Los Angeles,USD
TRX3689,SHIP26,26377.76,2024-09-17,Rotterdam,USD
TRX7781,SHIP25,89126.62,2024-09-19,Singapore,CNY
TRX9045,SHIP37,55964.84,2024-10-11,Singapore,EUR
TRX8593,SHIP49,57084.05,2024-09-28,Rotterdam,CNY
TRX1006,SHIP33,7950.34,2024-10-11,Rotterdam,JPY
TRX4384,SHIP46,63064.75,2024-09-26,Shanghai,CNY
TRX4329,SHIP18,91611.82,2024-10-07,Rotterdam,GBP
TRX9829,SHIP7,36230.59,2024-09-15,Shanghai,JPY
TRX9376,SHIP10,49989.93,2024-09-20,Singapore,CNY
TRX7120,SHIP16,79108.33,2024-10-13,Singapore,USD
TRX5065,SHIP2,93925.57,2024-10-08,New York,USD
TRX9605,SHIP15,61909.8,2024-10-05,New York,EUR
TRX6972,SHIP11,52318.25,2024-09-26,Los Angeles,EUR
TRX8974,SHIP9,86423.23,2024-10-10,Los Angeles,CNY
TRX6046,SHIP36,83032.08,2024-09-16,Los Angeles,GBP
TRX4397,SHIP41,24070.36,2024-10-03,New York,CNY
