transaction_id,ship_id,transaction_amount,transaction_date,port,currency
TRX5678,SHIP28,78713.81,2024-10-04,Los Angeles,USD
TRX2219,SHIP29,88019.92,2024-10-04,Singapore,JPY
TRX8637,SHIP29,34815.84,2024-10-04,New York,USD
TRX9609,SHIP6,18716.4,2024-10-04,Los Angeles,GBP
TRX2995,SHIP45,89022.28,2024-10-04,Shanghai,JPY
TRX8014,SHIP22,82149.35,2024-10-04,New York,EUR
TRX8050,SHIP21,33593.45,2024-10-04,Singapore,USD
TRX5751,SHIP42,55656.31,2024-10-04,Shanghai,EUR
TRX1092,SHIP5,66907.64,2024-10-04,Rotterdam,GBP
TRX3490,SHIP2,41330.71,2024-10-04,Singapore,JPY
TRX3333,SHIP29,27558.46,2024-10-04,Rotterdam,EUR
TRX7217,SHIP15,1007.67,2024-10-04,Rotterdam,GBP
TRX7304,SHIP35,96701.96,2024-10-04,Rotterdam,USD
TRX4079,SHIP19,39612.49,2024-10-04,Rotterdam,USD
TRX7549,SHIP50,99202.44,2024-10-04,Los Angeles,USD
TRX7488,SHIP21,48165.76,2024-10-04,Los Angeles,USD
TRX8456,SHIP40,74076.76,2024-10-04,Rotterdam,EUR
TRX3329,SHIP24,91688.55,2024-10-04,Singapore,GBP
TRX2786,SHIP32,12414.45,2024-10-04,Los Angeles,USD
TRX1620,SHIP2,96132.61,2024-10-04,Singapore,GBP
TRX9937,SHIP35,52982.23,2024-10-04,Los Angeles,CNY
TRX6873,SHIP27,59185.66,2024-10-04,Shanghai,CNY
TRX8215,SHIP47,91379.59,2024-10-04,New York,USD
TRX7545,SHIP12,66646.45,2024-10-04,Rotterdam,GBP
TRX8898,SHIP22,63993.01,2024-10-04,Rotterdam,CNY
TRX6424,SHIP24,77211.34,2024-10-04,Shanghai,GBP
TRX8401,SHIP2,38125.31,2024-10-04,Singapore,CNY
TRX6187,SHIP26,16752.4,2024-10-04,Los Angeles,JPY
TRX4785,SHIP33,83052.83,2024-10-04,Los Angeles,CNY
TRX6995,SHIP43,79887.38,2024-10-04,Singapore,USD
TRX4249,SHIP26,68772.38,2024-10-04,Shanghai,CNY
TRX8070,SHIP24,67613.13,2024-10-04,Shanghai,USD
TRX6928,SHIP20,14236.25,2024-10-04,New York,EUR
TRX1923,SHIP27,96714.39,2024-10-04,Singapore,JPY
TRX9223,SHIP35,38101.89,2024-10-04,Singapore,USD
TRX5118,SHIP32,40956.73,2024-10-04,Rotterdam,JPY
TRX4626,SHIP28,19698.96,2024-10-04,New York,CNY
TRX2351,SHIP19,40681.94,2024-10-04,Rotterdam,GBP
TRX5503,SHIP33,96396.66,2024-10-04,Rotterdam,CNY
TRX2900,SHIP2,31465.54,2024-10-04,New York,JPY
TRX7767,SHIP35,21342.32,2024-10-04,Singapore,CNY
TRX3895,SHIP40,58031.14,2024-10-04,New York,JPY
TRX8916,SHIP31,63724.89,2024-10-04,Singapore,USD
TRX1251,SHIP41,42735.22,2024-10-04,Shanghai,JPY
TRX6773,SHIP46,32477.76,2024-10-04,New York,CNY
TRX9623,SHIP50,69270.77,2024-10-04,Shanghai,JPY
TRX4506,SHIP7,18162.43,2024-10-04,Singapore,EUR
TRX6255,SHIP35,8856.48,2024-10-04,Los Angeles,JPY
TRX6209,SHIP47,6787.96,2024-10-04,Rotterdam,GBP
TRX5317,SHIP22,70356.65,2024-10-04,Shanghai,EUR
TRX7421,SHIP35,3923.13,2024-10-04,New York,EUR
TRX5101,SHIP20,39811.26,2024-10-04,Rotterdam,JPY
TRX5759,SHIP30,60134.54,2024-10-04,Los Angeles,GBP
TRX2926,SHIP50,33650.97,2024-10-04,New York,EUR
TRX2962,SHIP32,65913.28,2024-10-04,Los Angeles,EUR
TRX9038,SHIP2,69518.47,2024-10-04,New York,EUR
TRX3002,SHIP30,52541.78,2024-10-04,New York,USD
TRX5254,SHIP14,38873.05,2024-10-04,Rotterdam,JPY
TRX4429,SHIP16,17209.48,2024-10-04,Rotterdam,JPY
TRX6386,SHIP47,92061.5,2024-10-04,Shanghai,JPY
TRX8677,SHIP14,54034.82,2024-10-04,Singapore,EUR
TRX5459,SHIP1,56984.62,2024-10-04,Singapore,JPY
TRX2396,SHIP41,2749.38,2024-10-04,Shanghai,EUR
TRX1105,SHIP45,28168.6,2024-10-04,Los Angeles,CNY
TRX2467,SHIP35,56826.83,2024-10-04,New York,USD
TRX6323,SHIP33,10232.97,2024-10-04,Rotterdam,USD
TRX1796,SHIP7,72066.44,2024-10-04,New York,GBP
TRX6167,SHIP24,2670.81,2024-10-04,New York,JPY
TRX2240,SHIP22,72779.48,2024-10-04,Los Angeles,CNY
TRX8731,SHIP12,82844.58,2024-10-04,Shanghai,EUR
TRX4461,SHIP28,21136.67,2024-10-04,Los Angeles,USD
TRX9774,SHIP29,18566.28,2024-10-04,Los Angeles,EUR
TRX5291,SHIP4,3925.34,2024-10-04,Shanghai,GBP
TRX4494,SHIP33,13028.96,2024-10-04,New York,USD
TRX9317,SHIP12,51027.06,2024-10-04,New York,GBP
TRX7250,SHIP45,74021.35,2024-10-04,New York,USD
TRX8234,SHIP44,55089.58,2024-10-04,Los Angeles,GBP
TRX3921,SHIP17,36036.65,2024-10-04,New York,JPY
TRX5469,SHIP8,41122.05,2024-10-04,Rotterdam,JPY
TRX5991,SHIP31,6426.22,2024-10-04,Shanghai,JPY
TRX8684,SHIP19,62358.43,2024-10-04,Los Angeles,USD
TRX1874,SHIP1,75386.24,2024-10-04,Shanghai,GBP
TRX7402,SHIP49,26645.51,2024-10-04,New York,USD
TRX6744,SHIP50,83082.69,2024-10-04,New York,JPY
TRX6954,SHIP1,16460.29,2024-10-04,Los Angeles,GBP
TRX4144,SHIP39,85515.52,2024-10-04,Singapore,EUR
TRX3942,SHIP48,5097.15,2024-10-04,Rotterdam,CNY
TRX5729,SHIP32,59417.82,2024-10-04,New York,JPY
TRX1655,SHIP36,64006.88,2024-10-04,Singapore,CNY
TRX3623,SHIP43,26552.99,2024-10-04,Shanghai,JPY
