transaction_id,ship_id,transaction_amount,transaction_date,port,currency
TRX3101,SHIP29,79395.6,2024-10-14,Shanghai,CNY
TRX8642,SHIP20,45746.76,2024-10-14,Rotterdam,CNY
TRX1412,SHIP30,55381.8,2024-10-14,New York,JPY
TRX8764,SHIP49,80603.45,2024-10-14,Rotterdam,USD
TRX3956,SHIP11,83659.9,2024-10-14,Shanghai,USD
TRX3782,SHIP24,31557.49,2024-10-14,Los Angeles,JPY
TRX4172,SHIP50,20516.71,2024-10-14,New York,JPY
TRX7463,SHIP50,10413.17,2024-10-14,Los Angeles,EUR
TRX1919,SHIP20,27527.53,2024-10-14,Rotterdam,EUR
TRX3171,SHIP38,7852.47,2024-10-14,New York,GBP
TRX5420,SHIP25,63622.47,2024-10-14,Los Angeles,USD
TRX2841,SHIP19,34408.0,2024-10-14,Singapore,USD
TRX3498,SHIP36,42440.94,2024-10-14,Singapore,GBP
TRX9741,SHIP27,52953.62,2024-10-14,Singapore,JPY
TRX6883,SHIP29,47019.86,2024-10-14,New York,JPY
TRX6911,SHIP24,71024.54,2024-10-14,Shanghai,JPY
TRX4342,SHIP19,70599.42,2024-10-14,Los Angeles,USD
TRX4407,SHIP34,33554.79,2024-10-14,Rotterdam,USD
TRX1661,SHIP42,31016.66,2024-10-14,Los Angeles,EUR
TRX3424,SHIP2,33645.92,2024-10-14,Rotterdam,EUR
TRX6136,SHIP5,96327.84,2024-10-14,Los Angeles,JPY
TRX4022,SHIP34,58427.09,2024-10-14,Rotterdam,CNY
TRX1263,SHIP30,67236.62,2024-10-14,New York,JPY
TRX9117,SHIP29,5692.4,2024-10-14,Rotterdam,CNY
TRX5190,SHIP15,41681.35,2024-10-14,Shanghai,CNY
TRX9768,SHIP29,91186.69,2024-10-14,New York,EUR
TRX3447,SHIP49,93757.54,2024-10-14,Los Angeles,EUR
TRX2236,SHIP37,89360.5,2024-10-14,Los Angeles,GBP
TRX8350,SHIP1,46284.98,2024-10-14,Los Angeles,CNY
TRX2866,SHIP6,17052.1,2024-10-14,New York,CNY
TRX1477,SHIP10,37536.96,2024-10-14,New York,JPY
TRX3191,SHIP20,82497.34,2024-10-14,New York,CNY
TRX9156,SHIP31,61853.07,2024-10-14,Singapore,JPY
TRX4707,SHIP17,15116.66,2024-10-14,New York,EUR
TRX9163,SHIP31,91048.01,2024-10-14,Los Angeles,CNY
TRX1747,SHIP40,9500.08,2024-10-14,Rotterdam,USD
TRX5761,SHIP7,32389.9,2024-10-14,Singapore,EUR
TRX2101,SHIP30,28313.84,2024-10-14,Rotterdam,JPY
TRX6813,SHIP28,63075.19,2024-10-14,Los Angeles,GBP
TRX5670,SHIP40,65188.26,2024-10-14,Rotterdam,EUR
TRX7202,SHIP7,47076.94,2024-10-14,Singapore,GBP
TRX4305,SHIP5,9222.65,2024-10-14,Shanghai,EUR
TRX8583,SHIP26,76763.3,2024-10-14,Shanghai,USD
TRX7837,SHIP7,15003.53,2024-10-14,Singapore,USD
TRX9867,SHIP40,65643.56,2024-10-14,Shanghai,JPY
TRX2639,SHIP4,32323.37,2024-10-14,Singapore,GBP
TRX6146,SHIP35,10029.62,2024-10-14,Rotterdam,CNY
TRX3402,SHIP45,81610.03,2024-10-14,Shanghai,USD
TRX7692,SHIP2,16468.75,2024-10-14,Shanghai,JPY
TRX3836,SHIP37,57266.52,2024-10-14,Los Angeles,JPY
TRX4832,SHIP46,20536.7,2024-10-14,Shanghai,JPY
TRX7155,SHIP23,28059.88,2024-10-14,Shanghai,CNY
TRX9405,SHIP8,85559.29,2024-10-14,Los Angeles,GBP
TRX6024,SHIP45,84020.01,2024-10-14,Shanghai,GBP
TRX6436,SHIP16,54193.91,2024-10-14,New York,USD
TRX7928,SHIP23,70283.74,2024-10-14,New York,GBP
TRX2739,SHIP44,55206.9,2024-10-14,Singapore,JPY
TRX7901,SHIP36,49833.28,2024-10-14,New York,GBP
TRX4277,SHIP9,80119.65,2024-10-14,New York,GBP
TRX7173,SHIP17,77523.73,2024-10-14,Los Angeles,USD
TRX3444,SHIP25,92320.17,2024-10-14,New York,GBP
TRX3314,SHIP18,11972.02,2024-10-14,Singapore,EUR
TRX7548,SHIP25,58208.57,2024-10-14,Shanghai,EUR
TRX9334,SHIP8,46428.14,2024-10-14,Rotterdam,EUR
TRX7086,SHIP16,38165.51,2024-10-14,Singapore,USD
TRX1806,SHIP46,81011.01,2024-10-14,Rotterdam,USD
TRX7800,SHIP15,49797.7,2024-10-14,Singapore,JPY
TRX8656,SHIP14,34176.14,2024-10-14,Singapore,USD
TRX6756,SHIP37,28077.46,2024-10-14,Singapore,JPY
TRX2318,SHIP41,58249.86,2024-10-14,Los Angeles,JPY
TRX8759,SHIP49,43540.83,2024-10-14,Los Angeles,JPY
TRX2314,SHIP44,63917.19,2024-10-14,Rotterdam,USD
TRX4750,SHIP49,51643.56,2024-10-14,Rotterdam,EUR
TRX3731,SHIP23,90096.29,2024-10-14,Los Angeles,USD
TRX4821,SHIP46,32471.04,2024-10-14,Shanghai,JPY
TRX5289,SHIP34,62346.64,2024-10-14,Shanghai,GBP
TRX2058,SHIP27,16159.27,2024-10-14,Singapore,GBP
TRX5868,SHIP44,60730.9,2024-10-14,Rotterdam,USD
TRX9531,SHIP27,41592.48,2024-10-14,Rotterdam,USD
TRX3529,SHIP44,44332.83,2024-10-14,Los Angeles,JPY
TRX5624,SHIP32,55410.7,2024-10-14,Shanghai,GBP
TRX5161,SHIP48,44865.86,2024-10-14,Singapore,GBP
TRX9193,SHIP3,12007.06,2024-10-14,New York,CNY
TRX4895,SHIP35,98174.89,2024-10-14,Rotterdam,GBP
TRX3433,SHIP17,75759.84,2024-10-14,Singapore,EUR
TRX8168,SHIP43,88679.31,2024-10-14,Rotterdam,GBP
TRX6875,SHIP46,20467.56,2024-10-14,Los Angeles,JPY
TRX1339,SHIP41,54553.27,2024-10-14,Singapore,CNY
TRX7968,SHIP32,69637.69,2024-10-14,Rotterdam,GBP
TRX6718,SHIP38,46311.18,2024-10-14,Los Angeles,USD
TRX7179,SHIP43,48301.8,2024-10-14,Rotterdam,USD
TRX7826,SHIP21,83598.74,2024-10-14,New York,USD
TRX8784,SHIP2,84087.14,2024-10-14,Singapore,GBP
TRX8596,SHIP7,39577.1,2024-10-14,New York,EUR
TRX2492,SHIP22,63010.04,2024-10-14,New York,EUR
TRX2474,SHIP8,44443.15,2024-10-14,Rotterdam,CNY
TRX4855,SHIP20,64643.59,2024-10-14,New York,GBP
TRX8644,SHIP24,10670.96,2024-10-14,Los Angeles,GBP
TRX8962,SHIP32,91307.23,2024-10-14,Singapore,JPY
TRX2839,SHIP4,3105.44,2024-10-14,Rotterdam,GBP
