transaction_id,ship_id,transaction_amount,transaction_date,port,currency
TRX8800,SHIP34,2404.03,2024-10-04,New York,USD
TRX5026,SHIP34,5196.96,2024-10-04,Shanghai,CNY
TRX5072,SHIP12,81493.83,2024-10-04,Los Angeles,CNY
TRX7309,SHIP38,22838.8,2024-10-04,Los Angeles,USD
TRX3338,SHIP2,91460.5,2024-10-04,Shanghai,JPY
TRX5925,SHIP14,95491.6,2024-10-04,Rotterdam,JPY
TRX9972,SHIP48,75574.13,2024-10-04,New York,EUR
TRX4050,SHIP34,5923.91,2024-10-04,Rotterdam,GBP
TRX5092,SHIP21,93060.12,2024-10-04,New York,USD
TRX1118,SHIP18,97186.9,2024-10-04,Rotterdam,USD
TRX1718,SHIP1,78243.66,2024-10-04,Rotterdam,GBP
TRX6319,SHIP48,74433.65,2024-10-04,New York,USD
TRX7000,SHIP13,19574.24,2024-10-04,New York,CNY
TRX3640,SHIP18,26828.23,2024-10-04,New York,USD
TRX8083,SHIP15,59088.76,2024-10-04,Shanghai,CNY
TRX3570,SHIP27,17352.54,2024-10-04,Los Angeles,USD
TRX8133,SHIP10,57831.77,2024-10-04,Singapore,GBP
TRX5928,SHIP20,87369.26,2024-10-04,Shanghai,JPY
TRX7190,SHIP24,89583.48,2024-10-04,New York,CNY
TRX2650,SHIP17,89471.68,2024-10-04,New York,JPY
TRX8967,SHIP26,68628.21,2024-10-04,Rotterdam,GBP
TRX6793,SHIP32,54108.4,2024-10-04,Rotterdam,USD
TRX4265,SHIP16,15935.24,2024-10-04,Singapore,EUR
TRX1521,SHIP9,91967.34,2024-10-04,Rotterdam,EUR
TRX5636,SHIP19,55578.05,2024-10-04,Rotterdam,CNY
TRX6748,SHIP28,44557.68,2024-10-04,Rotterdam,JPY
TRX9894,SHIP32,54313.24,2024-10-04,Singapore,CNY
TRX7772,SHIP41,78300.4,2024-10-04,Rotterdam,EUR
TRX8377,SHIP18,91379.22,2024-10-04,Shanghai,USD
TRX4721,SHIP14,68854.15,2024-10-04,Rotterdam,USD
TRX4333,SHIP17,52077.47,2024-10-04,Singapore,USD
TRX7430,SHIP50,57752.3,2024-10-04,Shanghai,JPY
TRX6762,SHIP27,66750.86,2024-10-04,Los Angeles,EUR
TRX2271,SHIP45,87876.25,2024-10-04,New York,CNY
TRX4623,SHIP34,25447.53,2024-10-04,New York,USD
TRX4764,SHIP7,74245.61,2024-10-04,Shanghai,EUR
TRX4030,SHIP6,15587.38,2024-10-04,Los Angeles,JPY
TRX8390,SHIP11,38881.22,2024-10-04,New York,GBP
TRX2941,SHIP38,60165.24,2024-10-04,Los Angeles,EUR
TRX9110,SHIP24,72183.62,2024-10-04,Rotterdam,EUR
TRX3435,SHIP43,72959.31,2024-10-04,Shanghai,GBP
TRX5042,SHIP8,12788.81,2024-10-04,Shanghai,USD
TRX7450,SHIP28,47062.62,2024-10-04,Los Angeles,JPY
TRX2939,SHIP40,1630.52,2024-10-04,Singapore,CNY
TRX7637,SHIP29,32268.45,2024-10-04,Rotterdam,JPY
TRX1224,SHIP31,4992.55,2024-10-04,New York,GBP
TRX1104,SHIP23,28571.08,2024-10-04,New York,EUR
TRX4186,SHIP3,1066.41,2024-10-04,New York,CNY
TRX7828,SHIP48,28155.25,2024-10-04,Singapore,USD
TRX6364,SHIP15,54604.87,2024-10-04,New York,USD
TRX1142,SHIP34,99243.01,2024-10-04,Rotterdam,GBP
TRX8217,SHIP32,48724.44,2024-10-04,New York,EUR
TRX9098,SHIP48,47120.8,2024-10-04,Rotterdam,USD
TRX2928,SHIP9,18241.24,2024-10-04,Rotterdam,GBP
TRX6699,SHIP2,65267.43,2024-10-04,Rotterdam,JPY
TRX1924,SHIP35,34567.41,2024-10-04,Singapore,CNY
TRX3852,SHIP21,83913.75,2024-10-04,Shanghai,CNY
TRX8402,SHIP43,69794.49,2024-10-04,Rotterdam,CNY
TRX5089,SHIP14,32428.01,2024-10-04,Rotterdam,EUR
TRX2539,SHIP2,4212.23,2024-10-04,New York,USD
TRX8296,SHIP11,12077.47,2024-10-04,Singapore,USD
TRX9968,SHIP32,16685.84,2024-10-04,Los Angeles,EUR
TRX2325,SHIP19,41498.86,2024-10-04,New York,JPY
TRX5307,SHIP10,73174.68,2024-10-04,Rotterdam,CNY
TRX9215,SHIP30,96895.71,2024-10-04,New York,JPY
TRX7799,SHIP17,56913.34,2024-10-04,New York,JPY
TRX3685,SHIP2,18934.51,2024-10-04,New York,USD
TRX9184,SHIP18,8995.74,2024-10-04,Singapore,GBP
TRX2691,SHIP9,29708.78,2024-10-04,Singapore,EUR
TRX9620,SHIP47,44479.29,2024-10-04,Rotterdam,JPY
TRX8759,SHIP16,77852.46,2024-10-04,Singapore,JPY
TRX5862,SHIP5,91470.53,2024-10-04,Rotterdam,EUR
TRX3821,SHIP34,82487.83,2024-10-04,Rotterdam,GBP
TRX2325,SHIP49,26791.83,2024-10-04,Singapore,USD
TRX6321,SHIP36,43743.72,2024-10-04,Los Angeles,EUR
TRX8922,SHIP50,52022.92,2024-10-04,Singapore,USD
TRX9771,SHIP28,21283.64,2024-10-04,Los Angeles,JPY
TRX7611,SHIP12,29410.96,2024-10-04,Los Angeles,JPY
TRX3802,SHIP37,64638.81,2024-10-04,Singapore,USD
TRX6199,SHIP24,96767.77,2024-10-04,Shanghai,USD
TRX6678,SHIP48,68253.21,2024-10-04,Shanghai,EUR
TRX7103,SHIP39,93037.47,2024-10-04,Los Angeles,JPY
TRX5365,SHIP6,15368.65,2024-10-04,New York,CNY
TRX8212,SHIP13,9798.77,2024-10-04,Los Angeles,USD
TRX9880,SHIP7,61799.64,2024-10-04,Los Angeles,USD
TRX9315,SHIP48,69945.76,2024-10-04,Shanghai,EUR
